net,radius,data_number,tool,autoattack_success
CNN_small,0.3,500,reassure,0
CNN_small,0.3,1000,small,0.0
CNN_small,0.3,1000,big,0.0
CNN_small,0.3,1000,ori,1.0
CNN_small,0.3,1000,adv-train,1.0
CNN_small,0.3,1000,art,0
CNN_small,0.3,1000,care,0.1
CNN_small,0.3,1000,prdnn,1.0
CNN_small,0.3,1000,reassure,0
FNN_small,0.05,50,aprnn,0.02
FNN_small,0.05,100,aprnn,0.0
FNN_small,0.05,200,aprnn,0.005
FNN_small,0.05,500,aprnn,0.038
FNN_small,0.05,1000,aprnn,0.004
FNN_small,0.1,50,aprnn,0.0
FNN_small,0.1,100,aprnn,0.0
FNN_small,0.1,200,aprnn,0.0
FNN_small,0.1,500,aprnn,0.0
FNN_small,0.1,1000,aprnn,0.012
FNN_small,0.3,50,aprnn,0.0
FNN_small,0.3,100,aprnn,0.0
FNN_small,0.3,200,aprnn,0.0
FNN_small,0.3,500,aprnn,0.0
FNN_small,0.3,1000,aprnn,0.0
FNN_big,0.05,50,aprnn,0.079
FNN_big,0.05,100,aprnn,0.109
FNN_big,0.05,200,aprnn,0.025
FNN_big,0.05,500,aprnn,0.0
FNN_big,0.05,1000,aprnn,0.0
FNN_big,0.1,50,aprnn,0.0
FNN_big,0.1,100,aprnn,0.0
FNN_big,0.1,200,aprnn,0.0
FNN_big,0.1,500,aprnn,0.0
FNN_big,0.1,1000,aprnn,0.0
FNN_big,0.3,50,aprnn,0.0
FNN_big,0.3,100,aprnn,0.0
FNN_big,0.3,200,aprnn,0.0
FNN_big,0.3,500,aprnn,0.0
FNN_big,0.3,1000,aprnn,0.0
CNN_small,0.05,50,aprnn,0.12
CNN_small,0.05,100,aprnn,0.099
CNN_small,0.05,200,aprnn,0.03
CNN_small,0.05,500,aprnn,0.008
CNN_small,0.05,1000,aprnn,0.002
CNN_small,0.1,50,aprnn,0.02
CNN_small,0.1,100,aprnn,0.0
CNN_small,0.1,200,aprnn,0.005
CNN_small,0.1,500,aprnn,0.0
CNN_small,0.1,1000,aprnn,0.0
CNN_small,0.3,50,aprnn,0.0
CNN_small,0.3,100,aprnn,0.0
CNN_small,0.3,200,aprnn,0.0
CNN_small,0.3,500,aprnn,0.0
CNN_small,0.3,1000,aprnn,0.0
