net,radius,data_number,tool,defense success of apgd & apgdt
CNN_small,0.05,100,art,0.0974
CNN_small,0.05,100,care,0.706
CNN_small,0.05,100,prdnn,0.2945
CNN_small,0.05,100,reassure,0
CNN_small,0.05,100,aprnn,0.6923
CNN_small,0.05,200,PatchRepair,0.9827
CNN_small,0.05,200,original,0.7057
CNN_small,0.05,200,adv_training,0.8613
CNN_small,0.05,200,art,0.0974
CNN_small,0.05,200,care,0.706
CNN_small,0.05,200,prdnn,0.1036
CNN_small,0.05,200,reassure,0
CNN_small,0.05,200,aprnn,0.706
CNN_small,0.05,500,PatchRepair,0.9827
CNN_small,0.05,500,original,0.7064
CNN_small,0.05,500,adv_training,0.8038
CNN_small,0.05,500,art,0
CNN_small,0.05,500,care,0
CNN_small,0.05,500,prdnn,0
CNN_small,0.05,500,reassure,0
CNN_small,0.05,500,aprnn,0.714
CNN_small,0.05,1000,PatchRepair,0.9827
CNN_small,0.05,1000,original,0.7066
CNN_small,0.05,1000,adv_training,0.7059
CNN_small,0.05,1000,art,0
CNN_small,0.05,1000,care,0
CNN_small,0.05,1000,prdnn,0
CNN_small,0.05,1000,reassure,0
CNN_small,0.05,1000,aprnn,0.6569
CNN_small,0.1,50,PatchRepair,0.9822
CNN_small,0.1,50,original,0.0813
CNN_small,0.1,50,adv_training,0.5095
CNN_small,0.1,50,art,0.1032
CNN_small,0.1,50,care,0.0831
CNN_small,0.1,50,prdnn,0.0002
CNN_small,0.1,50,reassure,0
CNN_small,0.1,50,aprnn,0.0871
CNN_small,0.1,100,PatchRepair,0.9819
CNN_small,0.1,100,original,0.0819
CNN_small,0.1,100,adv_training,0.5783
CNN_small,0.1,100,art,0.0958
CNN_small,0.1,100,care,0.0815
CNN_small,0.1,100,prdnn,0.0
CNN_small,0.1,100,reassure,0
CNN_small,0.1,100,aprnn,0.086
CNN_small,0.1,200,PatchRepair,0.9824
CNN_small,0.1,200,original,0.0827
CNN_small,0.1,200,adv_training,0.4976
CNN_small,0.1,200,art,0.0982
CNN_small,0.1,200,care,0.0823
CNN_small,0.1,200,prdnn,0.0
CNN_small,0.1,200,reassure,0
CNN_small,0.1,200,aprnn,0.0916
CNN_small,0.1,500,PatchRepair,0.9825
CNN_small,0.1,500,original,0.0821
CNN_small,0.1,500,adv_training,0.4648
CNN_small,0.1,500,art,0
CNN_small,0.1,500,care,0
CNN_small,0.1,500,prdnn,0
CNN_small,0.1,500,reassure,0
CNN_small,0.1,500,aprnn,0.0844
CNN_small,0.1,1000,PatchRepair,0.9826
CNN_small,0.1,1000,original,0.0822
CNN_small,0.1,1000,adv_training,0.2822
CNN_small,0.1,1000,art,0
CNN_small,0.1,1000,care,0
CNN_small,0.1,1000,prdnn,0
CNN_small,0.1,1000,reassure,0
CNN_small,0.1,1000,aprnn,0.046
CNN_small,0.3,50,PatchRepair,0.9827
CNN_small,0.3,50,original,0.0
CNN_small,0.3,50,adv_training,0.0
CNN_small,0.3,50,art,0.0982
CNN_small,0.3,50,care,0.0
CNN_small,0.3,50,prdnn,0.0
CNN_small,0.3,50,reassure,0
CNN_small,0.3,50,aprnn,0.0
CNN_small,0.3,100,PatchRepair,0.9827
CNN_small,0.3,100,original,0.0
CNN_small,0.3,100,adv_training,0.0
CNN_small,0.3,100,art,0.0892
CNN_small,0.3,100,care,0.0
CNN_small,0.3,100,prdnn,0.0
CNN_small,0.3,100,reassure,0
CNN_small,0.3,100,aprnn,0.0
CNN_small,0.3,200,PatchRepair,0.9827
CNN_small,0.3,200,original,0.0
CNN_small,0.3,200,adv_training,0.0
CNN_small,0.3,200,art,0.0892
