net,radius,data_number,patch_format,drawdown,rs,gene,time
CNN_small,0.1,200,art,0.8845000000000001,0.2,0.2,1108.1015448458493
CNN_small,0.1,500,art,0,0,0,0
CNN_small,0.1,1000,art,0,0,0,0
CNN_small,0.3,50,art,0.8845000000000001,0.1,0.1,808.1775992587209
CNN_small,0.3,100,art,0.8935,0.1,0.1,899.453995116055
CNN_small,0.3,200,art,0.8935,0.0,0.0,1014.6500591039658
CNN_small,0.3,500,art,0,0,0,0
CNN_small,0.3,1000,art,0,0,0,0
FNN_small,0.05,50,care,0.010099999999999998,0.07999999999999996,0.07599999999999996,2.0084784030914307
FNN_small,0.05,100,care,0.0012999999999999678,0.020000000000000018,0.02200000000000002,2.2624590396881104
FNN_small,0.05,200,care,0.0040999999999999925,0.04500000000000004,0.050000000000000044,3.238079309463501
FNN_small,0.05,500,care,0.01739999999999997,0.05800000000000005,0.06600000000000006,8.224165439605713
FNN_small,0.05,1000,care,0.16620000000000001,0.11399999999999999,0.12650000000000006,17.34188413619995
FNN_small,0.1,50,care,0.00019999999999997797,0.020000000000000018,0.008000000000000007,2.2415049076080322
FNN_small,0.1,100,care,9.999999999998899e-05,0.020000000000000018,0.017000000000000015,1.7461371421813965
FNN_small,0.1,200,care,0.0031999999999999806,0.010000000000000009,0.011499999999999955,2.824488878250122
FNN_small,0.1,500,care,-0.0010000000000000009,0.0040000000000000036,0.016800000000000037,5.056106805801392
FNN_small,0.1,1000,care,0.0012999999999999678,0.006000000000000005,0.02310000000000001,8.02315068244934
FNN_small,0.3,50,care,0.0,0.0,0.0,1.7846076488494873
FNN_small,0.3,100,care,0.06989999999999996,0.06000000000000005,0.07699999999999996,2.6301321983337402
FNN_small,0.3,200,care,0.0,0.0,0.0,3.22361421585083
FNN_small,0.3,500,care,-0.0010999999999999899,0.0,0.0043999999999999595,4.828219413757324
FNN_small,0.3,1000,care,-0.00019999999999997797,0.0,0.005700000000000038,7.421658992767334
FNN_big,0.05,50,care,0.020199999999999996,0.06000000000000005,0.06600000000000006,1.7103581428527832
FNN_big,0.05,100,care,0.027900000000000036,0.09999999999999998,0.10899999999999999,3.6461260318756104
FNN_big,0.05,200,care,0.047799999999999954,0.09999999999999998,0.10699999999999998,4.480556964874268
FNN_big,0.05,500,care,0.06110000000000004,0.09999999999999998,0.10619999999999996,9.17257571220398
FNN_big,0.05,1000,care,0.06159999999999999,0.11199999999999999,0.11780000000000002,17.907886028289795
FNN_big,0.1,50,care,0.13739999999999997,0.17999999999999994,0.20199999999999996,2.7008585929870605
FNN_big,0.1,100,care,0.0012999999999999678,0.020000000000000018,0.020000000000000018,2.914227247238159
FNN_big,0.1,200,care,0.10550000000000004,0.17500000000000004,0.19199999999999995,6.371322154998779
FNN_big,0.1,500,care,0.012599999999999945,0.006000000000000005,0.011800000000000033,6.251687049865723
FNN_big,0.1,1000,care,0.006700000000000039,0.0050000000000000044,0.010000000000000009,11.185929775238037
FNN_big,0.3,50,care,0.0,0.0,0.0,1.7558825016021729
FNN_big,0.3,100,care,-0.00029999999999996696,0.010000000000000009,0.0010000000000000009,2.1368706226348877
FNN_big,0.3,200,care,0.0018000000000000238,0.010000000000000009,0.0014999999999999458,3.704038143157959
FNN_big,0.3,500,care,0.0021999999999999797,0.0040000000000000036,0.0031999999999999806,4.935655832290649
FNN_big,0.3,1000,care,0.006700000000000039,0.006000000000000005,0.0043999999999999595,10.866122484207153
CNN_small,0.05,50,care,0.024399999999999977,0.0,0.27,3.5276358127593994
CNN_small,0.05,100,care,0.023900000000000032,0.0,0.29400000000000004,5.9988484382629395
CNN_small,0.05,200,care,0.026600000000000068,0.0,0.276,9.793011903762817
CNN_small,0.05,500,care,0.0343,0.0,0.3078000000000001,26.879046201705933
CNN_small,0.05,1000,care,0.07500000000000007,0.0,0.3292999999999999,38.14859580993652
CNN_small,0.1,50,care,0.005600000000000049,0.0,0.122,2.599844217300415
CNN_small,0.1,100,care,0.013000000000000012,0.0,0.22199999999999998,5.080129861831665
CNN_small,0.1,200,care,0.02760000000000007,0.0,0.21799999999999997,8.129025936126709
CNN_small,0.1,500,care,0.09140000000000004,0.0,0.3036,24.860832691192627
CNN_small,0.1,1000,care,0.054300000000000015,0.0,0.2459,32.028661012649536
CNN_small,0.3,50,care,0.0,0.0,0.0,2.185551643371582
CNN_small,0.3,100,care,0.0,0.0,0.0,2.5693557262420654
CNN_small,0.3,200,care,0.0,0.0,0.0,4.639323472976685
CNN_small,0.3,500,care,0.0048000000000000265,0.0,0.013399999999999967,9.217775106430054
CNN_small,0.3,1000,care,0.0010000000000000009,0.0,0.011299999999999977,16.751787424087524
FNN_small,0.05,50,prdnn,0.30899999999999994,1.0,0.444,35.859122385270894
FNN_small,0.05,100,prdnn,0.2579,1.0,0.487,80.79421643400565
FNN_small,0.05,200,prdnn,0.39549999999999996,1.0,0.4265,268.2413650029339
FNN_small,0.05,500,prdnn,0.5609999999999999,1.0,0.39,1358.402753755916
FNN_small,0.05,1000,prdnn,0.4313,1.0,0.4127,3473.4972438761033
FNN_small,0.1,50,prdnn,0.7134,1.0,0.242,51.63099597301334
FNN_small,0.1,100,prdnn,0.6243,1.0,0.298,92.22594993608072
FNN_small,0.1,200,prdnn,0.6009,1.0,0.327,321.8022695952095
FNN_small,0.1,500,prdnn,0.5164,1.0,0.375,1324.5789405377582
FNN_small,0.1,1000,prdnn,0.4245,1.0,0.4247,3844.8436209568754
FNN_small,0.3,50,prdnn,0.7695,1.0,0.242,55.34481777017936
FNN_small,0.3,100,prdnn,0.7409,1.0,0.22,115.67261543124914
FNN_small,0.3,200,prdnn,0.6282,1.0,0.2605,364.940625092946
FNN_small,0.3,500,prdnn,0.5708,1.0,0.3044,1934.3855864251964
FNN_small,0.3,1000,prdnn,0.5828,1.0,0.3188,3759.560415907763
FNN_big,0.05,50,prdnn,0.006900000000000017,1.0,0.63,89.45417244825512
FNN_big,0.05,100,prdnn,0.008099999999999996,1.0,0.633,171.08999794116244
FNN_big,0.05,200,prdnn,0.009800000000000031,1.0,0.589,418.9705732371658
